dod_final.panel,dod_final.unit_num,dod_final.stub_label,dod_final.year,dod_final.age,dod_final.estimate,dod_final.gender,dod_final.cause_of_death,dod_final.age_code
All drug overdose deaths,1,All persons,1999,All ages,6.1,All,All,0
All drug overdose deaths,1,All persons,2000,All ages,6.2,All,All,0
All drug overdose deaths,1,All persons,2001,All ages,6.8,All,All,0
All drug overdose deaths,1,All persons,2002,All ages,8.2,All,All,0
All drug overdose deaths,1,All persons,2003,All ages,8.9,All,All,0
All drug overdose deaths,1,All persons,2004,All ages,9.4,All,All,0
All drug overdose deaths,1,All persons,2005,All ages,10.1,All,All,0
All drug overdose deaths,1,All persons,2006,All ages,11.5,All,All,0
All drug overdose deaths,1,All persons,2007,All ages,11.9,All,All,0
All drug overdose deaths,1,All persons,2008,All ages,11.9,All,All,0
All drug overdose deaths,1,All persons,2009,All ages,11.9,All,All,0
All drug overdose deaths,1,All persons,2010,All ages,12.3,All,All,0
All drug overdose deaths,1,All persons,2011,All ages,13.2,All,All,0
All drug overdose deaths,1,All persons,2012,All ages,13.1,All,All,0
All drug overdose deaths,1,All persons,2013,All ages,13.8,All,All,0
All drug overdose deaths,1,All persons,2014,All ages,14.7,All,All,0
All drug overdose deaths,1,All persons,2015,All ages,16.3,All,All,0
All drug overdose deaths,1,All persons,2016,All ages,19.8,All,All,0
All drug overdose deaths,1,All persons,2017,All ages,21.7,All,All,0
All drug overdose deaths,1,Male,1999,All ages,8.2,Male,All,0
All drug overdose deaths,1,Male,2000,All ages,8.3,Male,All,0
All drug overdose deaths,1,Male,2001,All ages,9.0,Male,All,0
All drug overdose deaths,1,Male,2002,All ages,10.6,Male,All,0
All drug overdose deaths,1,Male,2003,All ages,11.5,Male,All,0
All drug overdose deaths,1,Male,2004,All ages,11.8,Male,All,0
All drug overdose deaths,1,Male,2005,All ages,12.8,Male,All,0
All drug overdose deaths,1,Male,2006,All ages,14.8,Male,All,0
All drug overdose deaths,1,Male,2007,All ages,14.9,Male,All,0
All drug overdose deaths,1,Male,2008,All ages,14.9,Male,All,0
All drug overdose deaths,1,Male,2009,All ages,14.8,Male,All,0
All drug overdose deaths,1,Male,2010,All ages,15.0,Male,All,0
All drug overdose deaths,1,Male,2011,All ages,16.1,Male,All,0
All drug overdose deaths,1,Male,2012,All ages,16.1,Male,All,0
All drug overdose deaths,2,Male,2017,All ages,29.0,Male,All,0
All drug overdose deaths,1,Male,2013,All ages,17.0,Male,All,0
All drug overdose deaths,1,Male,2014,All ages,18.3,Male,All,0
All drug overdose deaths,1,Male,2015,All ages,20.8,Male,All,0
All drug overdose deaths,1,Male,2016,All ages,26.2,Male,All,0
All drug overdose deaths,1,Male,2017,All ages,29.1,Male,All,0
All drug overdose deaths,1,Female,1999,All ages,3.9,Female,All,0
All drug overdose deaths,1,Female,2000,All ages,4.1,Female,All,0
All drug overdose deaths,1,Female,2001,All ages,4.6,Female,All,0
All drug overdose deaths,1,Female,2002,All ages,5.8,Female,All,0
All drug overdose deaths,1,Female,2003,All ages,6.4,Female,All,0
All drug overdose deaths,1,Female,2004,All ages,6.9,Female,All,0
All drug overdose deaths,1,Female,2005,All ages,7.3,Female,All,0
All drug overdose deaths,1,Female,2006,All ages,8.2,Female,All,0
All drug overdose deaths,1,Female,2007,All ages,8.8,Female,All,0
All drug overdose deaths,1,Female,2008,All ages,8.9,Female,All,0
All drug overdose deaths,1,Female,2009,All ages,9.1,Female,All,0
All drug overdose deaths,1,Female,2010,All ages,9.6,Female,All,0
All drug overdose deaths,1,Female,2011,All ages,10.2,Female,All,0
All drug overdose deaths,1,Female,2012,All ages,10.2,Female,All,0
All drug overdose deaths,1,Female,2013,All ages,10.6,Female,All,0
All drug overdose deaths,1,Female,2014,All ages,11.1,Female,All,0
All drug overdose deaths,1,Female,2015,All ages,11.8,Female,All,0
